"X","isbn","title","series_title","series_release_number","authors","publisher","language","description","num_pages","format","publication_date","rating_score","num_ratings","num_reviews","current_readers","want_to_read","price","url","main_genre","year"
2622,"9780743272506","The Boleyn Inheritance ","The Plantagenet and Tudor Novels","10","Philippa Gregory","Atria","English","Three Women Who Share One Fate: The Boleyn Inheritance
Anne of Cleves
 
She runs from her tiny country, her hateful mother, and her abusive brother to a throne whose last three occupants are dead. King Henry VIII, her new husband, instantly dislikes her. Without friends, family, or even an understanding of the language being spoken around her, she must literally save her neck in a court ruled by a deadly game of politics and the terror of an unpredictable and vengeful king. Her Boleyn Inheritance: accusations and false witnesses.
Katherine Howard
She catches the king's eye within moments of arriving at court, setting in motion the dreadful machine of politics, intrigue, and treason that she does not understand. She only knows that she is beautiful, that men desire her, that she is young and in love -- but not with the diseased old man who made her queen, beds her night after night, and killed her cousin Anne. Her Boleyn Inheritance: the threat of the axe.
Jane Rochford
She is the Boleyn girl whose testimony sent her husband and sister-in-law to their deaths. She is the trusted friend of two threatened queens, the perfectly loyal spy for her uncle, the Duke of Norfolk, and a canny survivor in the murderous court of a most dangerous king. Throughout Europe, her name is a byword for malice, jealousy, and twisted lust. Her Boleyn Inheritance: a fortune and a title, in exchange for her soul.
 is a novel drawn tight as a lute string about a court ruled by the gallows and three women whose positions brought them wealth, admiration, and power as well as deceit, betrayal, and terror. Once again, Philippa Gregory has brought a vanished world to life - the whisper of a silk skirt on a stone stair, the yellow glow of candlelight illuminating a hastily written note, the murmurs of the crowd gathering on Tower Green below the newly built scaffold. In 
The Boleyn Inheritance
 Gregory is at her intelligent and page-turning best.",518,"Hardcover","2006-12-05",3.9,91129,4589,2125,43000,0,"https://www.goodreads.com/book/show/16180.The_Boleyn_Inheritance","Other",2006
2625,"9780786838929","Blue Bloods ","Blue Bloods","1","Melissa de la Cruz","Hyperion","English","When the Mayflower set sail in 1620, it carried on board the men and women who would shape America: Miles Standish; John Alden; Constance Hopkins. But some among the Pilgrims were not pure of heart; they were not escaping religious persecution. Indeed, they were not even human. They were vampires.
The vampires assimilated quickly into the New World. Rising to levels of enormous power, wealth, and influence, they were the celebrated blue bloods of American society. 
The 
 vowed that their immortal status would remain a closely guarded secret. And they kept that secret for centuries. But now, in New York City, the secret is seeping out. Schuyler Van Alen is a sophomore at a prestigious private school. She prefers baggy, vintage clothes instead of the Prada and pearls worn by her classmates, and she lives with her reclusive grandmother in a dilapated mansion. Schuyler is a loner...and happy that way. Suddenly, when she turns fifteen, there is a visible mosaic of blue veins on her arm. She starts to crave raw food and she is having flashbacks to ancient times. Then a popular girl from her school is found dead... drained of all her blood. Schuyler doesn't know what to think, but she wants to find out the secrets the Blue Bloods are keeping. But is she herself in danger?",302,"Hardcover","2006-03-27",3.7,141164,5200,1566,83500,0,"https://www.goodreads.com/book/show/872333.Blue_Bloods","Children/Young Adult",2006
2631,"9780375814686","Terrier ","Beka Cooper","1","Tamora Pierce","Random House","English","Hundreds of years before Alanna first drew her sword in Tamora Pierce's memorable debut, 
, Tortall had a heroine named Beka Cooper - a fierce young woman who fights crime in a world of magic. This is the beginning of her story, her legend, and her legacy....
Beka Cooper is a rookie with the law-enforcing Provost's Guard, commonly known as ""the Provost's Dogs,"" in Corus, the capital city of Tortall. To the surprise of both the veteran ""Dogs"" and her fellow ""puppies,"" Beka requests duty in the Lower City. The Lower City is a tough beat. But it's also where Beka was born, and she's comfortable there.
Beka gets her wish. She's assigned to work with Mattes and Clary, famed veterans among the Provost's Dogs. They're tough, they're capable, and they're none too happy about the indignity of being saddled with a puppy for the first time in years. What they don't know is that Beka has something unique to offer. Never much of a talker, Beka is a good listener. So good, in fact, that she hears things that Mattes and Clary never could - information that is passed in murmurs when flocks of pigeons gather ... murmurs that are the words of the dead.
In this way, Beka learns of someone in the Lower City who has overturned the power structure of the underworld and is terrorizing its citizens into submission and silence. Beka's magical listening talent is the only way for the Provost's Dogs to find out the identity of this brutal new underlord, for the dead are beyond fear. And the ranks of the dead will be growing if the Dogs can't stop a crime wave the likes of which has never been seen. Luckily for the people of the Lower City, the new puppy is a true terrier!",581,"Hardcover","2006-10-24",4.15,68061,2137,892,45800,9.99,"https://www.goodreads.com/book/show/13829.Terrier","Fantasy",2006
2644,"9781401303273","For One More Day","","","Mitch Albom","Hyperion","English","""Every family is a ghost story...""
Mitch Albom mesmerized readers around the world with his number one 
 bestsellers, 
The Five People You Meet in Heaven
 and 
Tuesdays with Morrie
. Now he returns with a beautiful, haunting novel about the family we love and the chances we miss.
For One More Day
 is the story of a mother and a son, and a relationship that covers a lifetime and beyond. It explores the question: What would you do if you could spend one more day with a lost loved one? 
As a child, Charley ""Chick"" Benetto was told by his father, ""You can be a mama's boy or a daddy's boy, but you can't be both."" So he chooses his father, only to see the man disappear when Charley is on the verge of adolescence. 
Decades later, Charley is a broken man. His life has been crumbled by alcohol and regret. He loses his job. He leaves his family. He hits bottom after discovering his only daughter has shut him out of her wedding. And he decides to take his own life.
He makes a midnight ride to his small hometown, with plans to do himself in. But upon failing even to do that, he staggers back to his old house, only to make an astonishing discovery. His mother, who died eight years earlier, is still living there, and welcomes him home as if nothing ever happened..
What follows is the one ""ordinary"" day so many of us yearn for, a chance to make good with a lost parent, to explain the family secrets, and to seek forgiveness. Somewhere between this life and the next, Charley learns the astonishing things he never knew about his mother and her sacrifices. And he tries, with her tender guidance, to put the crumbled pieces of his life back together.
Through Albom's inspiring characters and masterful storytelling, readers will newly appreciate those whom they love and may have thought they'd lost in their own lives. 
For One More Day
 is a book for anyone in a family, and will be cherished by Albom's millions of fans worldwide.",208,"Hardcover","2006-09-26",4.12,147081,9640,2582,55900,11.99,"https://www.goodreads.com/book/show/10929.For_One_More_Day","Other",2006
2645,"9780767919364","The Life and Times of the Thunderbolt Kid","","","Bill Bryson","Crown","English","From one of the most beloved and bestselling authors in the English language, a vivid, nostalgic, and utterly hilarious memoir of growing up in the 1950s
Bill Bryson was born in the middle of the American century—1951—in the middle of the United States—Des Moines, Iowa—in the middle of the largest generation in American history—the baby boomers. As one of the best and funniest writers alive, he is perfectly positioned to mine his memories of a totally all-American childhood for 24-carat memoir gold. Like millions of his generational peers, Bill Bryson grew up with a rich fantasy life as a superhero. In his case, he ran around his house and neighborhood with an old football jersey with a thunderbolt on it and a towel about his neck that served as his cape, leaping tall buildings in a single bound and vanquishing awful evildoers (and morons)—in his head—as ""The Thunderbolt Kid.""
Using this persona as a springboard, Bill Bryson re-creates the life of his family and his native city in the 1950s in all its transcendent normality—a life at once completely familiar to us all and as far away and unreachable as another galaxy. It was, he reminds us, a happy time, when automobiles and televisions and appliances (not to mention nuclear weapons) grew larger and more numerous with each passing year, and DDT, cigarettes, and the fallout from atmospheric testing were considered harmless or even good for you. He brings us into the life of his loving but eccentric family, including affectionate portraits of his father, a gifted sportswriter for the local paper and dedicated practitioner of isometric exercises, and OF his mother, whose job as the home furnishing editor for the same paper left her little time for practicing the domestic arts at home. The many readers of Bill Bryson’s earlier classic, A Walk in the Woods, will greet the reappearance in these pages of the immortal Stephen Katz, seen hijacking literally boxcar loads of beer. He is joined in the Bryson gallery of immortal characters by the demonically clever Willoughby brothers, who apply their scientific skills and can-do attitude to gleefully destructive ends.
Warm and laugh-out-loud funny, and full of his inimitable, pitch-perfect observations, The Life and Times of the Thunderbolt Kid is as wondrous a book as Bill Bryson has ever written. It will enchant anyone who has ever been young.",288,"Hardcover","2006-09-01",3.93,65391,5231,1768,25200,12.99,"https://www.goodreads.com/book/show/10538.The_Life_and_Times_of_the_Thunderbolt_Kid","Nonfiction",2006
2650,"9780812974010","Black Swan Green","","","David Mitchell","Random House","English","From award-winning writer David Mitchell comes a sinewy, meditative novel of boyhood on the cusp of adulthood and the old on the cusp of the new.
Black Swan Green tracks a single year in what is, for thirteen-year-old Jason Taylor, the sleepiest village in muddiest Worcestershire in a dying Cold War England, 1982. But the thirteen chapters, each a short story in its own right, create an exquisitely observed world that is anything but sleepy. A world of Kissingeresque realpolitik enacted in boys’ games on a frozen lake; of “nightcreeping” through the summer backyards of strangers; of the tabloid-fueled thrills of the Falklands War and its human toll; of the cruel, luscious Dawn Madden and her power-hungry boyfriend, Ross Wilcox; of a certain Madame Eva van Outryve de Crommelynck, an elderly bohemian emigré who is both more and less than she appears; of Jason’s search to replace his dead grandfather’s irreplaceable smashed watch before the crime is discovered; of first cigarettes, first kisses, first Duran Duran LPs, and first deaths; of Margaret Thatcher’s recession; of Gypsies camping in the woods and the hysteria they inspire; and, even closer to home, of a slow-motion divorce in four seasons.
Pointed, funny, profound, left-field, elegiac, and painted with the stuff of life, Black Swan Green is David Mitchell’s most subtlest and effective achievement to date.",296,"Paperback","2006-04-11",3.97,41897,3741,1134,28600,11.99,"https://www.goodreads.com/book/show/14316.Black_Swan_Green","Other",2006
2658,"9780743298858","The Book of Lost Things ","The Book of Lost Things","1","John Connolly","Atria","English","High in his attic bedroom, twelve-year-old David mourns the death of his mother, with only the books on his shelf for company. But those books have begun to whisper to him in the darkness. Angry and alone, he takes refuge in his imagination and soon finds that reality and fantasy have begun to meld. While his family falls apart around him, David is violently propelled into a world that is a strange reflection of his own -- populated by heroes and monsters and ruled by a faded king who keeps his secrets in a mysterious book, 
.
Taking readers on a vivid journey through the loss of innocence into adulthood and beyond, 
New York Times
 bestselling author John Connolly tells a dark and compelling tale that reminds us of the enduring power of stories in our lives.",339,"Hardcover","2006-11-07",3.96,79375,9150,2800,106000,0,"https://www.goodreads.com/book/show/69136.The_Book_of_Lost_Things","Fantasy",2006
2671,"9780307264190","The Emperor's Children","","","Claire Messud","Alfred A. Knopf","English","From a writer “of near-miraculous perfection” (The New York Times Book Review) and “a literary intelligence far surpassing most other writers of her generation” (San Francisco Chronicle), The Emperor’s Children is a dazzling, masterful novel about the intersections in the lives of three friends, now on the cusp of their thirties, making their way—and not—in New York City. 
There is beautiful, sophisticated Marina Thwaite—an “It” girl finishing her first book; the daughter of Murray Thwaite, celebrated intellectual and journalist—and her two closest friends from Brown, Danielle, a quietly appealing television producer, and Julius, a cash-strapped freelance critic. The delicious complications that arise among them become dangerous when Murray’s nephew, Frederick “Bootie” Tubb, an idealistic college dropout determined to make his mark, comes to town. As the skies darken, it is Bootie’s unexpected decisions—and their stunning, heartbreaking outcome—that will change each of their lives forever. 
A richly drawn, brilliantly observed novel of fate and fortune—of innocence and experience, seduction and self-invention; of ambition, including literary ambition; of glamour, disaster, and promise—The Emperor’s Children is a tour de force that brings to life a city, a generation, and the way we live in this moment.",431,"Hardcover","2006-08-29",2.97,20876,2974,928,14100,13.99,"https://www.goodreads.com/book/show/3648.The_Emperor_s_Children","Other",2006
2676,"9780446610025","Kushiel's Scion ","Imriel's Trilogy","1","Jacqueline Carey","Grand Central","English","Imriel de la Courcel's blood parents are history's most reviled traitors, but his adoptive parents, the Comtesse Phèdre and the warrior-priest Joscelin, are Terre d'Ange's greatest champions.
Stolen, tortured, and enslaved as a young boy, Imriel is now a Prince of the Blood, third in line for the throne in a land that revels in art, beauty, and desire. It is a court steeped in deeply laid conspiracies ... and there are many who would see the young prince dead. Some despise him out of hatred for his birth mother Melisande, who nearly destroyed the realm in her quest for power. Others because they fear he has inherited his mother's irresistible allure - and her dangerous gifts. And as he comes of age, plagued by dark yearnings, Imriel shares their fears.
At the royal court, where gossip is the chosen poison and assailants wield slander instead of swords, the young prince fights character assassins while struggling with his own innermost conflicts. But when Imriel departs to study at the famed University of Tiberium, the perils he faces turn infinitely more deadly. Searching for wisdom, he finds instead a web of manipulation, where innocent words hide sinister meanings, and your lover of last night may become your hired killer before dawn. Now a simple act of friendship will leave Imriel trapped in a besieged city where the infamous Melisande is worshiped as a goddess; where a dead man leads an army; and where the prince must face his greatest test: to find his true self.",944,"Mass Market Paperback","2006-06-12",4.22,21677,706,317,8000,7.99,"https://www.goodreads.com/book/show/153007.Kushiel_s_Scion","Fantasy",2006
2691,"9780446576987","The Book of the Dead ","Pendergast, Diogenes","7,3","Douglas Preston","Grand Central","English","Can FBI Special Agent Pendergast stop a cursed Egyptian tomb from terrorizing New York City -- or will he stay trapped in a maximum security prison, punished for a murder he didn't commit?
 An FBI agent, rotting away in a high-security prison for a murder he did not commit...
His brilliant, psychotic brother, about to perpetrate a horrific crime...
A young woman with an extrodinary past, on th edge of a violent breakdown...
An ancient Egyptian tomb with an enigmatic curse, about to be unveiled at a celebrity-studded New York gala...
Memento Mori",454,"Hardcover","2006-06-01",4.16,36570,1449,1318,8743,9.99,"https://www.goodreads.com/book/show/30068.The_Book_of_the_Dead","Mystery/Thriller",2006
2696,"9780743296786","The Cold Moon ","Lincoln Rhyme","7","Jeffery Deaver","Simon & Schuster","English","On a freezing December night, with a full moon hovering in the black sky over New York City, two people are brutally murdered -- the death scenes marked by eerie, matching calling cards: moon-faced clocks investigators fear ticked away the victims' last moments on earth. Renowned criminologist Lincoln Rhyme immediately identifies the clock distributor and has the chilling realization that the killer -- who has dubbed himself the Watchmaker -- has more murders planned in the hours to come.
Rhyme, a quadriplegic long confined to his wheelchair, immediately taps his trusted partner and longtime love, Amelia Sachs, to walk the grid and be his eyes and ears on the street. But Sachs has other commitments now -- namely, her first assignment as lead detective on a homicide of her own. As she struggles to balance her pursuit of the infuriatingly elusive Watchmaker with her own case, Sachs unearths shocking revelations about the police force that threaten to undermine her career, her sense of self and her relationship with Rhyme. As the Rhyme-Sachs team shows evidence of fissures, the Watchmaker is methodically stalking his victims and planning a diabolical criminal masterwork.... Indeed, the Watchmaker may be the most cunning and mesmerizing villain Rhyme and Sachs have ever encountered.",416,"Paperback","2006-06-26",4.06,19773,969,906,7654,14.99,"https://www.goodreads.com/book/show/93808.The_Cold_Moon","Mystery/Thriller",2006
2699,"9781400061280","Augustus: The Life of Rome's First Emperor","","","Anthony Everitt","Random House","English","He found Rome made of clay and left it made of marble. As Rome’s first emperor, Augustus transformed the unruly Republic into the greatest empire the world had ever seen. His consolidation and expansion of Roman power two thousand years ago laid the foundations, for all of Western history to follow. Yet, despite Augustus’s accomplishments, very few biographers have concentrated on the man himself, instead choosing to chronicle the age in which he lived. Here, Anthony Everitt, the bestselling author of Cicero, gives a spellbinding and intimate account of his illustrious subject. 
Augustus began his career as an inexperienced teenager plucked from his studies to take center stage in the drama of Roman politics, assisted by two school friends, Agrippa and Maecenas. Augustus’s rise to power began with the assassination of his great-uncle and adoptive father, Julius Caesar, and culminated in the titanic duel with Mark Antony and Cleopatra.
The world that made Augustus–and that he himself later remade–was driven by intrigue, sex, ceremony, violence, scandal, and naked ambition. Everitt has taken some of the household names of history–Caesar, Brutus, Cassius, Antony, Cleopatra–whom few know the full truth about, and turned them into flesh-and-blood human beings.
At a time when many consider America an empire, this stunning portrait of the greatest emperor who ever lived makes for enlightening and engrossing reading. Everitt brings to life the world of a giant, rendered faithfully and sympathetically in human scale. A study of power and political genius, Augustus
is a vivid, compelling biography of one of the most important rulers in history.",377,"Hardcover","2006-01-01",3.94,7964,449,442,8355,12.99,"https://www.goodreads.com/book/show/89230.Augustus","Nonfiction",2006
2711,"9780747599876","The Tales of Beedle the Bard","","","J.K. Rowling","Bloomsbury","English","""The Tales of Beedle the Bard"" contains five richly diverse fairy tales, each with its own magical character, that will variously bring delight, laughter and the thrill of mortal peril.
Additional notes for each story penned by Professor Albus Dumbledore will be enjoyed by Muggles and wizards alike, as the Professor muses on the morals illuminated by the tales, and reveals snippets of information about life at Hogwarts.
A uniquely magical volume, with illustrations by the author, J. K. Rowling, that will be treasured for years to come.",105,"Hardcover","2008-01-01",4.04,485832,18415,6920,196000,0,"https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard","Fantasy",2008
2714,"9780743496728","Nineteen Minutes","","","Jodi Picoult","Atria","English","In nineteen minutes, you can mow the front lawn, color your hair, watch a third of a hockey game. In nineteen minutes, you can bake scones or get a tooth filled by a dentist; you can fold laundry for a family of five....In nineteen minutes, you can stop the world, or you can just jump off it. In nineteen minutes, you can get revenge. 
Sterling is a small, ordinary New Hampshire town where nothing ever happens -- until the day its complacency is shattered by a shocking act of violence. In the aftermath, the town's residents must not only seek justice in order to begin healing but also come to terms with the role they played in the tragedy. For them, the lines between truth and fiction, right and wrong, insider and outsider have been obscured forever. Josie Cormier, the teenage daughter of the judge sitting on the case, could be the state's best witness, but she can't remember what happened in front of her own eyes. And as the trial progresses, fault lines between the high school and the adult community begin to show, destroying the closest of friendships and families. 
Nineteen Minutes is New York Times bestselling author Jodi Picoult's most raw, honest, and important novel yet. Told with the straightforward style for which she has become known, it asks simple questions that have no easy answers: Can your own child become a mystery to you? What does it mean to be different in our society? Is it ever okay for a victim to strike back? And who -- if anyone -- has the right to judge someone else?",440,"Hardcover","2007-03-05",4.16,366962,19064,13300,142000,13.99,"https://www.goodreads.com/book/show/14866.Nineteen_Minutes","Other",2007
2716,"9780007149827","The Yiddish Policemen's Union","","","Michael Chabon","HarperCollins","English","For sixty years, Jewish refugees and their descendants have prospered in the Federal District of Sitka, a ""temporary"" safe haven created in the wake of revelations of the Holocaust and the shocking 1948 collapse of the fledgling state of Israel. Proud, grateful, and longing to be American, the Jews of the Sitka District have created their own little world in the Alaskan panhandle, a vibrant, gritty, soulful, and complex frontier city that moves to the music of Yiddish. For sixty years they have been left alone, neglected and half-forgotten in a backwater of history. Now the District is set to revert to Alaskan control, and their dream is coming to an end: once again the tides of history threaten to sweep them up and carry them off into the unknown. 
But homicide detective Meyer Landsman of the District Police has enough problems without worrying about the upcoming Reversion. His life is a shambles, his marriage a wreck, his career a disaster. He and his half-Tlingit partner, Berko Shemets, can't catch a break in any of their outstanding cases. Landsman's new supervisor is the love of his life—and also his worst nightmare. And in the cheap hotel where he has washed up, someone has just committed a murder—right under Landsman's nose. Out of habit, obligation, and a mysterious sense that it somehow offers him a shot at redeeming himself, Landsman begins to investigate the killing of his neighbor, a former chess prodigy. But when word comes down from on high that the case is to be dropped immediately, Landsman soon finds himself contending with all the powerful forces of faith, obsession, hopefulness, evil, and salvation that are his heritage—and with the unfinished business of his marriage to Bina Gelbfish, the one person who understands his darkest fears. 
At once a gripping whodunit, a love story, an homage to 1940s noir, and an exploration of the mysteries of exile and redemption, The Yiddish Policemen's Union is a novel only Michael Chabon could have written.
(front flap)",414,"Hardcover","2007-05-01",3.71,76654,7665,3607,48600,0,"https://www.goodreads.com/book/show/16703.The_Yiddish_Policemen_s_Union","Other",2007
2718,"","Animal, Vegetable, Miracle: A Year of Food Life","","","Barbara Kingsolver","Harper","English","Author Barbara Kingsolver and her family abandoned the industrial-food pipeline to live a rural life—vowing that, for one year, they'd only buy food raised in their own neighborhood, grow it themselves, or learn to live without it. Part memoir, part journalistic investigation, 
 is an enthralling narrative that will open your eyes in a hundred new ways to an old truth: You are what you eat.",383,"Kindle Edition","2007-05-01",4.05,110046,11328,4460,72100,15.99,"https://www.goodreads.com/book/show/40725379-animal-vegetable-miracle","Nonfiction",2007
2731,"9780007246229","The Children of Húrin","","","J.R.R. Tolkien","HarperCollins","English","This tale of Middle-earth's First Age, which appeared in incomplete forms in the posthumously published 
 and 


Unfinished Tales


, also edited by Tolkien's son, Christopher, only hinted at the depth and power of the tragic story of Túrin and Niënor, the children of Húrin, the lord of Dor-lómin, who achieved renown for having confronted Morgoth, who was the master of Sauron, the manifestation of evil in the Lord of the Rings.
Six thousand years before the One Ring is destroyed, Middle-earth lies under the shadow of the Dark Lord Morgoth. The greatest warriors among elves and men have perished, and all is in darkness and despair. But a deadly new leader rises, Túrin, son of Húrin, and with his grim band of outlaws begins to turn the tide in the war for Middle-earth -- awaiting the day he confronts his destiny and the deadly curse laid upon him.",315,"Hardcover","2007-04-16",4.03,82540,4492,6013,81800,2.99,"https://www.goodreads.com/book/show/597790.The_Children_of_H_rin","Fantasy",2007
2733,"9781416590644","The Moses Expedition ","Father Anthony Fowler","2","Juan Gómez-Jurado","Atria","English","A lost treasure, a Nazi war criminal, and an expedition to find a legend . . . 
After fifty years in hiding, the Nazi war criminal known as the Butcher of Spiegelgrund has finally been tracked down by Father Anthony Fowler, a CIA operative and a member of the Vatican’s secret service. He wants something from the Butcher—a candle covered in filigree gold that was stolen from a Jewish family many years before. 
But it isn’t the gold Fowler is after. As Fowler holds a flame to the wax, the missing fragment of an ancient map that uncovers the location of the Ten Commandments given to Moses is revealed. Soon Fowler is involved in an expedition to Jordan set up by a reclusive billionaire. But there is a traitor in the group who has ties to terrorist organizations back in the United States, and who is patiently awaiting the moment to strike. 
From wartime Vienna to terrorist cells in New York and a lost valley in Jordan, 
is a thrilling read about a quest for power and the secrets of an ancient world.",386,"Hardcover","2007-11-30",3.71,3892,367,337,2348,12.99,"https://www.goodreads.com/book/show/6715394-the-moses-expedition","Mystery/Thriller",2007
2734,"9780375826726","Brisingr ","The Inheritance Cycle","3","Christopher Paolini","Alfred A. Knopf","English","Oaths sworn... loyalties tested... forces collide.
It's been only months since Eragon first uttered ""brisingr"", an ancient language term for fire. Since then, he's not only learned to create magic with words — he's been challenged to his very core. Following the colossal battle against the Empires warriors on the Burning Plains, Eragon and his dragon, Saphira, have narrowly escaped with their lives. Still, there is more adventure at hand for the Rider and his dragon, as Eragon finds himself bound by a tangle of promises he may not be able to keep.
First is Eragon's oath to his cousin, Roran: to help rescue Roran's beloved from King Galbatorix's clutches. But Eragon owes his loyalty to others, too. The Varden are in desperate need of his talents and strength — as are the elves and dwarves. When unrest claims the rebels and danger strikes from every corner, Eragon must make choices — choices that will take him across the Empire and beyond, choices that may lead to unimagined sacrifice.
Eragon is the greatest hope to rid the land of tyranny. Can this once simple farm boy unite the rebel forces and defeat the king?",748,"Hardcover","2008-09-20",4.09,369800,10641,8342,105000,10.99,"https://www.goodreads.com/book/show/2248573.Brisingr","Fantasy",2008
2748,"9781400064663","Peony in Love","","","Lisa See","Random House","English","In seventeenth-century China, three women become emotionally involved with The Peony Pavilion, a famed opera rumored to cause lovesickness and even death, including Peony, the cloistered daughter of a wealthy scholar, who succumbs to its spell only to return after her death as a ""hungry ghost"" to haunt her former fiancé, who has married another.",273,"Hardcover","2007-06-26",3.63,47822,4889,1338,20900,14.99,"https://www.goodreads.com/book/show/24472.Peony_in_Love","Other",2007
2749,"9780743264730","Einstein: His Life and Universe","","","Walter Isaacson","Simon & Schuster","English","Einstein was a rebel and nonconformist from boyhood days, and these character traits drove both his life and his science. In this narrative, Walter Isaacson explains how his mind worked and the mysteries of the universe that he discovered.",675,"Hardcover","2007-04-10",4.16,184342,4416,9930,426000,14.99,"https://www.goodreads.com/book/show/10884.Einstein","Nonfiction",2007
2753,"9780446580502","I Am America","","","Stephen Colbert","Grand Central","English","Congratulations
--just by opening the cover of this book you became 25% more patriotic.
From Stephen Colbert, the host of television's highest-rated punditry show 
, comes the book to fill the other 23½ hours of your day. 
I Am America (And So Can You!)
 contains all of the opinions that Stephen doesn't have time to shoehorn into his nightly broadcast.
Dictated directly into a microcassette recorder over a three-day weekend, this book contains Stephen's most deeply held knee-jerk beliefs on The American Family, Race, Religion, Sex, Sports, and many more topics, conveniently arranged in chapter form.
Always controversial and outspoken, Stephen addresses why Hollywood is destroying America by inches, why evolution is a fraud, and why the elderly should be harnessed to millstones.
You may not agree with everything Stephen says, but at the very least, you'll understand that your differing opinion is wrong.
I Am America (And So Can You!)
 showcases Stephen Colbert at his most eloquent and impassioned. He is an unrelenting fighter for the soul of America, and in this book he fights the good fight for the traditional values that have served this country so well for so long.
Please buy this book before you leave the store.
About the Author
Stephen Colbert is America.
Description from book jacket",230,"Hardcover","2007-10-09",3.89,82067,3551,NA,3615,NA,"https://www.goodreads.com/book/show/611298.I_Am_America","Nonfiction",2007
2754,"9780425213971","Labyrinth ","Languedoc","1","Kate Mosse","Berkley","English","In the Pyrenees mountains near Carcassonne, Alice, a volunteer at an archaeological dig, stumbles into a cave and makes a startling discovery-two crumbling skeletons, strange writings on the walls, and the pattern of a labyrinth. Eight hundred years earlier, on the eve of a brutal crusade that will rip apart southern France, a young woman named Alais is given a ring and a mysterious book for safekeeping by her father. The book, he says, contains the secret of the true Grail, and the ring, inscribed with a labyrinth, will identify a guardian of the Grail. Now, as crusading armies gather outside the city walls of Carcassonne, it will take a tremendous sacrifice to keep the secret of the labyrinth safe.",515,"Paperback","2005-01-01",3.61,55533,3604,2214,34200,12.99,"https://www.goodreads.com/book/show/14975.Labyrinth","Other",2005
2765,"9780786838936","Masquerade ","Blue Bloods","2","Melissa de la Cruz","Hyperion","English","Schuyler Van Alen is starting to get more comfortable with her newfound vampire powers, but she still has many unanswered questions. A trip to Italy in search of her grandfather only serves to make things more confusing. What secrets are the leaders of The Committee hiding? Meanwhile, back in New York, preparations are feverishly underway for the famous Four Hundred Ball. In true Blue Blood fashion, the ball is totally fab, complete with masksâ€”and hidden behind this masquerade is a revelation that will change the course of a young vampireâ€™s destiny.
The thrilling sequel in Melissa de la Cruzâ€™s vampire mythology has all the glamour, attitude, and vampire lore that made the first book a hit.",307,"Hardcover","2007-05-01",3.91,90911,2223,620,29400,0,"https://www.goodreads.com/book/show/106085.Masquerade","Children/Young Adult",2007
2774,"9780345494993","Loving Frank","","","Nancy Horan","Ballantine","English","So writes Mamah Borthwick Cheney in her diary as she struggles to justify her clandestine love affair with Frank Lloyd Wright. Four years earlier, in 1903, Mamah and her husband, Edwin, had commissioned the renowned architect to design a new home for them. During the construction of the house, a powerful attraction developed between Mamah and Frank, and in time the lovers, each married with children, embarked on a course that would shock Chicago society and forever change their lives. 
In this ambitious debut novel, fact and fiction blend together brilliantly. While scholars have largely relegated Mamah to a footnote in the life of America’s greatest architect, author Nancy Horan gives full weight to their dramatic love story and illuminates Cheney’s profound influence on Wright. 
Drawing on years of research, Horan weaves little-known facts into a compelling narrative, vividly portraying the conflicts and struggles of a woman forced to choose between the roles of mother, wife, lover, and intellectual. Horan’s Mamah is a woman seeking to find her own place, her own creative calling in the world. Mamah’s is an unforgettable journey marked by choices that reshape her notions of love and responsibility, leading inexorably ultimately lead to this novel’s stunning conclusion. 
Elegantly written and remarkably rich in detail, 
Loving Frank
 is a fitting tribute to a courageous woman, a national icon, and their timeless love story.",384,"Hardcover","2007-08-07",3.77,98589,9922,3013,33800,12.99,"https://www.goodreads.com/book/show/898885.Loving_Frank","Other",2007
2779,"9780425217290","An Ice Cold Grave ","Harper Connelly","3","Charlaine Harris","Berkley","English","Hired to find a boy gone missing in Doraville, North Carolina, Harper Connelly and her brother Tolliver head there, only to discover that the boy was the only one left of several who had disappeared over the previous five years. All of them teenagers. All unlikely runaways. 
 All calling for Harper. 
 Harper soon finds them—eight victims, buried in the half-frozen ground, all come to an unspeakable end. Afterward, what she most wants to do is collect her fee and get out of town ahead of the media storm that's soon to descend. But when she's attacked and prevented from leaving, she reluctantly becomes a part of the investigation as she learns more than she cares to about the dark mysteries and long-hidden secrets of Doraville—knowledge that makes her the next person likely to rest in an ice-cold grave.",280,"Hardcover","2007-09-22",3.96,35939,1566,413,7908,7.99,"https://www.goodreads.com/book/show/140097.An_Ice_Cold_Grave","Mystery/Thriller",2007
