"X","isbn","title","series_title","series_release_number","authors","publisher","language","description","num_pages","format","publication_date","rating_score","num_ratings","num_reviews","current_readers","want_to_read","price","url","main_genre","year"
148,"9780440000211","The Book of Cold Cases","","","Simone St. James","Berkley","English","In 1977, Claire Lake, Oregon, was shaken by the Lady Killer Murders: Two men, seemingly randomly, were murdered with the same gun, with strange notes left behind. Beth Greer was the perfect suspect--a rich, eccentric twenty-three-year-old woman, seen fleeing one of the crimes. But she was acquitted, and she retreated to the isolation of her mansion.
Oregon, 2017
Shea Collins is a receptionist, but by night, she runs a true crime website, the Book of Cold Cases--a passion fueled by the attempted abduction she escaped as a child. When she meets Beth by chance, Shea asks her for an interview. To Shea's surprise, Beth says yes.
They meet regularly at Beth's mansion, though Shea is never comfortable there. Items move when she's not looking, and she could swear she's seen a girl outside the window. The allure of learning the truth about the case from the smart, charming Beth is too much to resist, but even as they grow closer, Shea senses something isn't right. Is she making friends with a manipulative murderer, or are there other dangers lurking in the darkness of the Greer house?
A true crime blogger gets more than she bargained for while interviewing the woman acquitted of two cold case slayings in this chilling new novel from the 
New York Times
 bestselling author of 
The Sun Down Motel.",344,"Hardcover","2022-03-15",3.79,107904,12402,3245,205000,13.99,"https://www.goodreads.com/book/show/58371432-the-book-of-cold-cases","Mystery/Thriller",2022
155,"","The Seven Year Slip","","","Ashley Poston","Berkley","English","Sometimes, the worst day of your life happens, and you have to figure out how to live after it.
So Clementine forms a plan to keep her heart safe: stay busy, work hard, find someone decent to love, and try to remember to chase the moon. The last one is silly and obviously metaphorical, but her aunt always told her that you needed at least one big dream to keep going. And for the last year, that plan has gone off without a hitch. Mostly. The love part is hard because she doesn’t want to get too close to anyone—she isn’t sure her heart can take it.
And then she finds a strange man standing in the kitchen of her late aunt’s apartment. A man with kind eyes and a Southern drawl and a taste for lemon pies. The kind of man that, before it all, she would’ve fallen head-over-heels for. And she might again.
Except, he exists in the past. Seven years ago, to be exact. And she, quite literally, lives seven years in his future.
Her aunt always said the apartment was a pinch in time, a place where moments blended together like watercolors. And Clementine knows that if she lets her heart fall, she’ll be doomed.
After all, love is never a matter of time—but a matter of timing.",352,"Paperback","2023-06-27",4.29,92590,17843,8605,288000,10.99,"https://www.goodreads.com/book/show/62926938-the-seven-year-slip","Romance",2023
159,"","The Love Wager ","Mr. Wrong Number","2","Lynn Painter","Berkley","English","Hallie Piper is turning over a new leaf. After belly-crawling out of a hotel room (hello, rock bottom), she decides it’s time to become a full-on adult. 
She gets a new apartment, a new haircut, and a new wardrobe, but when she logs into the dating app that she has determined will find her new love, she sees none other than Jack, the guy whose room she’d snuck out of.
Through the app, and after the joint agreement that they are absolutely not interested in each other, Jack and Hallie become partners in their respective searches for The One. They text each other about their dates, often scheduling them at the same restaurant so that if things don’t go well, the two of them can get tacos afterward.
Spoiler: they get a lot of tacos together. 
Discouraged by the lack of prospects, Jack and Hallie make a wager to see who can find true love first, but when they agree to be fake dates for a weekend wedding, all bets are off. 
As they pretend to be a couple, lines become blurred and they each struggle to remember why the other was a bad idea to begin with.",315,"Kindle Edition","2023-03-14",3.9,53712,7758,1817,1e+05,9.99,"https://www.goodreads.com/book/show/60487511-the-love-wager","Romance",2023
166,"9780345466600","When the Bough Breaks ","Alex Delaware","1","Jonathan Kellerman","Ballantine","English","The first Alex Delaware novel. It's a good one!
We meet Dr. Morton Handler who practiced a strange brand of psychiatry. Among his specialties were fraud, extortion, and sexual manipulation. Handler paid for his sins when he was brutally murdered in his luxurious Pacific Palisades apartment. The police have no leads, but they do have one possible witness: seven-year-old Melody Quinn.
Psychologist Dr. Alex Delaware's job is to unlock the terrible secret buried in Melody's memory. As the sinister shadows in the girl's mind begin to take shape, Alex discovers that the mystery touches a shocking incident in his own past. This connection is only the beginning, a single link in a forty-year-old conspiracy. And behind it lies an unspeakable evil that Alex Delaware must expose before it claims another innocent victim: Melody Quinn.",448,"Paperback","1985-04-01",4.02,65392,1085,2023,26100,1.99,"https://www.goodreads.com/book/show/185911.When_the_Bough_Breaks","Mystery/Thriller",1985
167,"9780345338549","Follow the River","","","James Alexander Thom","Ballantine","English","NATIONAL BESTSELLER • “It takes a rare individual not only to see that history can live, but also to make it live for others. James Thom has that gift.”— The Indianapolis News
Mary Ingles was twenty-three, happily married, and pregnant with her third child when Shawnee Indians invaded her peaceful Virginia settlement in 1755 and kidnapped her, leaving behind a bloody massacre. For months they held her captive. But nothing could imprison her spirit.
With the rushing Ohio River as her guide, Mary Ingles walked one thousand miles through an untamed wilderness no white woman had ever seen. Her story lives on—extraordinary testimony to the indomitable strength of one pioneer woman who risked her life to return to her own people.",406,"Mass Market Paperback","1981-01-01",4.23,21071,2576,832,14700,8.99,"https://www.goodreads.com/book/show/138872.Follow_the_River","Other",1981
171,"9780425198773","Twice Shy","","","Dick Francis","G.P. Putnam's Sons","English","A computerized horse-betting system falls into Jonathan Derry's hands--and unless he returns it to the rightful owners, the odds of his survival are slim to none.",304,"Mass Market Paperback","1981-01-01",3.92,4194,175,162,644,8.99,"https://www.goodreads.com/book/show/103250.Twice_Shy","Mystery/Thriller",1981
197,"9780064401746","Good Night, Mr. Tom","","","Michelle Magorian","HarperCollins","English","London is poised on the brink of World War II. Timid, scrawny Willie Beech -- the abused child of a single mother -- is evacuated to the English countryside. At first, he is terrified of everything, of the country sounds and sights, even of Mr. Tom, the gruff, kindly old man who has taken him in. But gradually Willie forgets the hate and despair of his past. He learns to love a world he never knew existed, a world of friendship and affection in which harsh words and daily beatings have no place. Then a telegram comes. Willie must return to his mother in London. When weeks pass by with no word from Willie, Mr. Tom sets out for London to look for the young boy he has come to love as a son.",320,"Paperback","1981-01-01",4.31,49040,2662,961,21400,13.99,"https://www.goodreads.com/book/show/161099.Good_Night_Mr_Tom","Other",1981
207,"9780345350497","The Mists of Avalon ","Avalon","1","Marion Zimmer Bradley","Ballantine","English","Here is the magical legend of King Arthur, vividly retold through the eyes and lives of the women who wielded power from behind the throne. A spellbinding novel, an extraordinary literary achievement, THE MISTS OF AVALON will stay with you for a long time to come....",884,"Paperback","1982-12-01",4.13,205867,7530,6595,149000,13.99,"https://www.goodreads.com/book/show/402045.The_Mists_of_Avalon","Fantasy",1982
218,"9780451200815","North and South ","North and South","1","John Jakes","Berkley","English","Part history, part novel, this book chronicles two great American dynasties over three generations. Though brought together in a friendship that neither jealousy nor violence could shatter, the Hazards and the Mains are torn apart by the storm of events that has divided the nation.",812,"Mass Market Paperback","1982-01-01",4.2,61078,1011,1363,26500,8.07,"https://www.goodreads.com/book/show/159178.North_and_South","Other",1982
219,"","A Pale View of Hills","","","Kazuo Ishiguro","Faber & Faber","English","In his highly acclaimed debut, A Pale View of Hills, Kazuo Ishiguro tells the story of Etsuko, a Japanese woman now living alone in England, dwelling on the recent suicide of her daughter. Retreating into the past, she finds herself reliving one particular hot summer in Nagasaki, when she and her friends struggled to rebuild their lives after the war. But then as she recalls her strange friendship with Sachiko - a wealthy woman reduced to vagrancy - the memories take on a disturbing cast.",183,"Paperback","1982-01-01",3.79,33812,3595,1103,31000,11.99,"https://www.goodreads.com/book/show/28920.A_Pale_View_of_Hills","Other",1982
